Smart Tv Images	Smart Tv Names	Smart Tv Prices	Smart Tv Details
https://rukminim1.flixcart.com/image/312/312/l572ufk0/television/e/f/g/32y1-32y1-infinix-original-imagfxczrxjjwxvf.jpeg?q=70	Infinix 80 cm (32 inch) HD Ready LED Smart Linux TV	₹8,999	Prime Video|YoutubeOperating System: LinuxHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Domestic Warranty
https://rukminim1.flixcart.com/image/312/312/l2ghgnk0/television/u/a/c/l32m7-5ain-mi-original-imagdsdwqf6bkmkz.jpeg?q=70	Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model)	₹13,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USB1 Year Warranty on Product and 2 Years for Panel
https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/television/a/i/z/l43m6-inc-mi-original-imag7bgpgcrfh2ns.jpeg?q=70	Mi 4C 108 cm (43 inch) Full HD LED Smart Android TV	₹19,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 3 x USB1 Year Warranty on Product and 2 Years on Panel
https://rukminim1.flixcart.com/image/312/312/kqidx8w0/television/m/1/v/32ha0a00-oneplus-original-imag4gy8yezxdhen.jpeg?q=70	OnePlus Y1 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio	₹13,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBLED1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase
https://rukminim1.flixcart.com/image/312/312/xif0q/television/v/2/b/-original-imaggjzuhzv6zhby.jpeg?q=70	Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV	₹25,990	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+ Grade1 Year Vu Domestic Warranty
https://rukminim1.flixcart.com/image/312/312/kbs9k7k0/television/c/j/3/samsung-ua32t4340akxxl-original-imaft25qdysfsq7k.jpeg?q=70	SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV	₹15,490	Netflix|Disney+Hotstar|YoutubeOperating System: TizenHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USB1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel
https://rukminim1.flixcart.com/image/312/312/xif0q/television/a/x/j/-original-imaggjuu3grhae7k.jpeg?q=70	Coocaa 80 cm (32 inch) HD Ready LED Smart Coolita TV with Dolby Audio and Eye Care Technology	₹7,999	Prime Video|YoutubeOperating System: CoolitaHD Ready 1366 x768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USBDLED1 Year Domestic Warranty
https://rukminim1.flixcart.com/image/312/312/l572ufk0/television/k/s/t/43uq7500psf-43uq7500psf-lg-original-imagfxgxtnda6mzn.jpeg?q=70	LG UQ7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition	₹30,990	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: WebOSUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 1 x USBLED1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.
https://rukminim1.flixcart.com/image/312/312/ksoz53k0/television/c/p/h/l43m6-es-mi-original-imag6774wykv4ps8.jpeg?q=70	Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision	₹31,999	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Warranty and 2 Years for Panel
https://rukminim1.flixcart.com/image/312/312/l0fm07k0/television/7/x/9/-original-imagc8fnpx39evgc.jpeg?q=70	LG 80 cm (32 inch) HD Ready LED Smart WebOS TV	₹15,490	Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: WebOSHD Ready 1366 x 768 Pixels10 W Speaker Output50 Hz Refresh Rate2 x HDMI | 1 x USBNA1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.
