SmartWatch Images	SmartWatch Names	SmartWatch Prices	SmartWatch Details
https://rukminim1.flixcart.com/image/312/312/l3ahpjk0/smartwatch/m/k/a/-original-imagegyhhxaszhn9.jpeg?q=70	boAt Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes Smartwatch	₹1,999	42mm(1.69 inch) HD Display|2.5D Curved Display|550 Nits Brightness|Lightweight: 35 gmsMultiple Sports Modes: Walking, Running, Cycling, Climbing, Yoga, Basketball, Football, Badminton, Skipping & Swimming24H Heart Rate, SpO2 & Stress Monitoring|Sleep Tracker|Music & Camera ControlIP68 Dust, Sweat and Splash Resistant|Multiple Watch Face|Call, Text & Social Media NotificationsTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Warranty from the Date of Purchase
https://rukminim1.flixcart.com/image/312/312/ky0g58w0/smartwatch/d/p/5/-original-imagac7hghz4nnxw.jpeg?q=70	Noise ColorFit Caliber Smartwatch	₹1,999	"4.2 cm (1.69"") LCD full touch screen150+ customizable and cloud based watch faces60 Sports Mode|Body Temperature sensorIP68 water resistantQuick replies (Android only)Blood oxygen, Heart rate monitor, Stress monitor and sleep monitorTouchscreenFitness & OutdoorBattery Runtime: Upto 15 days1 Year Manufacturer Warranty"
https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/smartwatch/z/n/6/-original-imagd7d7hxrcguhv.jpeg?q=70	Fire-Boltt Hurricane Smartwatch	₹1,999	1.3 Color HD Full Touch Screen with 240*240 pixel resolution2.5D Curved Glass for Best Retina HD Color Display with Automatic Motion RecognitionSpO2 Monitoring, Continuous Heart Rate Tracking|30 Sports Modes | IP67 Water ResistanceSuperior Battery Life 7 Days & Standby Time 15 DaysFind Phone Feature - Use this feature to find your phone|Stay Socially Connected with all Notification AlertsTouchscreenFitness & Outdoor, Health & MedicalBattery Runtime: Upto 15 daysContact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.
https://rukminim1.flixcart.com/image/312/312/l3uhvgw0/smartwatch/k/2/g/1-8-dw21291-android-ios-dizo-no-original-imagevd4hyrgms58.jpeg?q=70	DIZO Watch D 1.8 inch Dynamic display with 550nits brightness (by realme techLife)	₹1,999	"4.57cm (1.8"") , 550nits Super Bright DisplayUpto 14 Day Battery Life, 2 Hours for Full Charge5ATM Water Resistance| 150+ Stylish Watch Faces| 110+ Sports ModeHealth Monitoring|DIZO Smart App ControlsTouchscreenFitness & OutdoorBattery Runtime: Upto 14 days12 month from the date of purchase"
https://rukminim1.flixcart.com/image/312/312/l3xcr680/smartwatch/t/x/t/-original-imagexjezzvsnkcf.jpeg?q=70	DIZO Watch D 1.8 inch Dynamic display with 550nits brightness (by realme techLife)	₹1,999	"4.57cm (1.8"") , 550nits Super Bright DisplayUpto 14 Day Battery Life, 2 Hours for Full Charge5ATM Water Resistance| 150+ Stylish Watch Faces| 110+ Sports ModeHealth Monitoring|DIZO Smart App ControlsTouchscreenFitness & OutdoorBattery Runtime: Upto 14 days12 month from the date of purchase"
https://rukminim1.flixcart.com/image/312/312/l3xcr680/smartwatch/p/c/p/-original-imagexje57hyzsvu.jpeg?q=70	DIZO Watch D 1.8 inch Dynamic display with 550nits brightness (by realme techLife)	₹1,999	"4.57cm (1.8"") , 550nits Super Bright DisplayUpto 14 Day Battery Life, 2 Hours for Full Charge5ATM Water Resistance| 150+ Stylish Watch Faces| 110+ Sports ModeHealth Monitoring|DIZO Smart App ControlsTouchscreenFitness & OutdoorBattery Runtime: Upto 14 days12 month from the date of purchase"
https://rukminim1.flixcart.com/image/312/312/l3xcr680/smartwatch/k/7/g/-original-imagexjeyfagdfxa.jpeg?q=70	DIZO Watch D 1.8 inch Dynamic display with 550nits brightness (by realme techLife)	₹1,999	"4.57cm (1.8"") , 550nits Super Bright DisplayUpto 14 Day Battery Life, 2 Hours for Full Charge5ATM Water Resistance| 150+ Stylish Watch Faces| 110+ Sports ModeHealth Monitoring|DIZO Smart App ControlsTouchscreenFitness & OutdoorBattery Runtime: Upto 14 days12 month from the date of purchase"
https://rukminim1.flixcart.com/image/312/312/l5ld8y80/smartwatch/n/i/m/-original-imagg8dddyyzjnxn.jpeg?q=70	Noise ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance Smartwatch	₹2,999	1.8 display (500 nits brightness)| Bluetooth calling| AI voice assistant100+ cloud-based watch faces| In-built gamesNoise Health SuiteTM (SpO2, 24*7 heart rate tracking, sleep monitor & activity tracker)60 sports modes| IP67 waterproof | 7-day batteryUtility features (stopwatch, alarm, timer, weather, find my phone, camera & music controls)NoiseFit Track appWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty
https://rukminim1.flixcart.com/image/312/312/ku1k4280/smartwatch/t/i/a/android-ios-wrb-sw-colorfitqubeoxy-std-blk-blk-noise-no-original-imag79y4ar4hjbgb.jpeg?q=70	Noise ColorFit Qube SpO2 Smartwatch	₹1,519	TouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty
https://rukminim1.flixcart.com/image/312/312/kr2e3680/smartwatch/i/i/t/1-4-rmw2008-android-ios-realme-original-imag4y6fynwz3ukt.jpeg?q=70	realme Smart Watch 2 with Superbright HD Display & 90 Sports Modes	₹1,999	3.5cm (1.4 inch) Large Color DisplayContinuous Heart Rate & SpO2 Blood Oxygen MonitorIP68 Water Resistant with 90 Sport Modes100+ Stylish Watch Faces to be Updated via OTAMagnetic Charging Base for Hassle-free ChargingCapacitive TouchscreenTouchscreenFitness & OutdoorBattery Runtime: Upto 12 days
